Customer ID,Referred a Friend,Tenure in Months,Phone Service,Multiple Lines,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges
1626-ERCMM,Yes,20,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,1899.65
5644-PDMZC,No,2,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.5,161.5
0823-HSCDJ,No,52,No,No,Yes,DSL,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,49.15,2550.9
0067-DKWBL,No,2,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1
5244-IRFIH,Yes,33,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.5,3105.55
2684-EIWEO,No,30,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Month-to-Month,No,Credit Card,91.7,2758.15
6683-VLCTZ,No,20,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,98.55,1842.8
0691-IFBQW,No,46,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,110.0,4874.8
3643-AHCFP,Yes,7,Yes,Yes,Yes,Cable,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,95.6,644.35
9231-ZJYAM,No,4,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,78.85,292.8
0727-BMPLR,No,55,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,100.0,5509.3
0947-MUGVO,Yes,20,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,73.65,1463.5
0781-LKXBR,No,9,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,918.6
1907-UBQFC,No,10,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.85,688.65
6513-EECDB,No,1,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,73.55,73.55
7074-IEVOJ,No,3,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,79.4,205.05
4750-ZRXIU,No,4,Yes,Yes,Yes,Cable,No,No,No,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,84.6,360.1
7028-DVOIQ,No,35,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,99.05,3395.8
4208-UFFGW,No,2,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,44.95,85.15
9889-TMAHG,No,8,Yes,No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,100.3,832.35
8919-FYFQZ,Yes,44,No,No,Yes,Cable,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,30.35,1359.7
6646-QVXLR,Yes,62,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.75,6383.35
9369-XFEHK,Yes,33,Yes,Yes,Yes,Cable,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,80.6,2656.5
1374-DMZUI,No,4,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.3,424.45
1989-PRJHP,Yes,27,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.5,1893.95
4822-RVYBB,No,8,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,100.6,819.4
4184-TJFAN,Yes,3,Yes,No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Mailed Check,88.3,273.75
4145-UQXUQ,No,8,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,92.1,729.95
1236-WFCDV,No,14,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,90.45,1266.1
1271-SJBGZ,No,12,No,No,Yes,DSL,No,No,Yes,Yes,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,43.65,526.95
4441-NIHPT,No,13,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,74.3,940.35
8999-BOHSE,No,11,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,89.7,1047.7
7029-RPUAV,Yes,17,Yes,Yes,Yes,Cable,No,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,100.45,1622.45
8111-SLLHI,Yes,39,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,105.65,4284.8
5293-WXJAK,Yes,11,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,104.05,1133.65
4086-YQSNZ,Yes,3,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,80.4,224.05
8399-YNDCH,No,21,Yes,No,Yes,DSL,No,No,Yes,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,60.05,1236.15
5565-FILXA,No,16,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,96.15,1529.2
4187-CINZD,No,46,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,One Year,No,Credit Card,95.25,4424.2
6818-WOBHJ,Yes,68,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,89.6,6127.6
9134-CEQMF,Yes,7,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,89.5,676.7
8519-IMDHU,Yes,15,Yes,Yes,Yes,Cable,No,No,No,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,85.6,1345.55
3372-KWFBM,No,16,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,86.6,1281.0
7206-GZCDC,No,1,Yes,No,Yes,Cable,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,69.25,69.25
1768-ZAIFU,No,1,No,No,Yes,Cable,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,25.2,25.2
3793-MMFUH,No,13,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.05,1290.0
8621-MNIHH,Yes,34,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.25,3217.55
5419-CONWX,No,4,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.8,442.85
7024-OHCCK,No,2,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,93.85,170.85
5357-TZHPP,No,9,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Month-to-Month,Yes,Credit Card,84.4,732.5
0506-LVNGN,No,5,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,75.55,349.65
9809-IMGCQ,No,22,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,96.7,2082.95
3254-YRILK,No,19,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,88.2,1775.8
0529-ONKER,No,15,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,75.65,1146.65
5240-IJOQT,No,1,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,74.7,74.7
0661-XEYAN,No,1,No,No,Yes,DSL,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,25.8,25.8
2660-EMUBI,No,10,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,95.35,898.35
7675-OZCZG,No,3,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,45.0,127.1
9391-EOYLI,Yes,12,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,80.45,950.2
2761-OCIAX,No,2,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,74.7,165.4
3068-OMWZA,No,1,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,88.8,88.8
4154-AQUGT,Yes,13,Yes,No,Yes,Fiber Optic,No,Yes,No,Yes,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,89.05,1169.35
8017-LXHFA,No,23,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.75,2293.6
4248-QPAVC,Yes,17,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.35,1463.45
4690-LLKUA,No,17,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,45.05,770.6
9490-DFPMD,No,42,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,84.65,3541.35
8580-AECUZ,No,1,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,79.1,79.1
8375-DKEBR,No,1,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,69.6,69.6
7279-BUYWN,No,41,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,113.2,4689.5
7156-MHUGY,No,13,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,90.5,1201.15
9606-PBKBQ,Yes,32,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.0,2642.05
3536-IQCTX,Yes,32,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,85.3,2661.1
3132-TVFDZ,Yes,57,No,No,Yes,Cable,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,44.85,2572.95
8080-DDEMJ,No,1,Yes,No,Yes,Cable,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,45.1,45.1
6702-OHFWR,No,1,No,No,Yes,DSL,No,Yes,Yes,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,43.3,43.3
4510-PYUSH,No,38,Yes,No,Yes,DSL,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Credit Card,57.15,2250.65
8840-DQLGN,Yes,35,Yes,Yes,Yes,Cable,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,100.5,3653.35
4193-ORFCL,No,1,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,45.1,45.1
7776-QWNFX,Yes,30,Yes,No,Yes,DSL,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,50.4,1527.5
6689-TCZHQ,No,5,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Month-to-Month,No,Bank Withdrawal,78.95,378.4
9497-QCMMS,No,1,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,93.55,93.55
3424-NMNBO,Yes,58,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,No,One Year,Yes,Bank Withdrawal,108.85,6287.25
4514-GFCFI,No,16,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,84.75,1350.15
8000-REIQB,No,1,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,69.95,69.95
4795-KTRTH,Yes,5,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,81.0,371.65
6179-GJPSO,No,43,Yes,No,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Credit Card,108.15,4600.7
8290-YWKHZ,Yes,32,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,93.2,2931.0
8051-HJRLT,No,1,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,70.55,70.55
4021-RQSNY,Yes,29,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,3004.15
9061-TIHDA,Yes,13,Yes,Yes,Yes,Cable,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.25,1233.65
8699-ASUFO,Yes,7,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,74.4,527.9
4695-WJZUE,No,2,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,88.55,179.25
3988-RQIXO,No,1,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,91.3,91.3
5931-FLJJF,Yes,7,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,70.1,467.55
3207-OYBWH,Yes,57,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,95.25,5427.05
7216-EWTRS,Yes,1,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,100.8,100.8
2528-HFYZX,Yes,17,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,76.45,1233.4
4140-MUHUG,No,3,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,86.85,220.95
1587-FKLZB,Yes,66,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,99.5,6822.15
5440-FLBQG,Yes,69,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,108.4,7318.2
2774-LVQUS,Yes,15,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,83.05,1258.3
4612-THJBS,No,56,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,One Year,Yes,Bank Withdrawal,104.75,5510.65
4094-NSEDU,No,21,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.25,1973.75
1846-XWOQN,No,1,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,70.15,70.15
3757-NJYBX,Yes,32,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,106.35,3520.75
8263-JQAIK,No,2,No,No,Yes,DSL,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,24.45,47.5
2205-YMZZJ,No,7,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,84.8,546.95
1254-IZEYF,No,31,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,99.95,3186.65
9221-OTIVJ,No,14,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,104.85,1531.4
5908-QMGOE,No,15,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,74.2,1133.9
0397-GZBBC,No,59,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,93.85,5574.75
7641-EUYET,Yes,46,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,100.7,4541.2
8245-UMPYT,No,16,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,96.4,1581.2
5186-SAMNZ,No,1,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,69.5,69.5
5373-SFODM,Yes,36,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card,85.25,3132.75
0022-TCJCI,No,45,Yes,No,Yes,DSL,Yes,No,Yes,No,No,Yes,No,One Year,No,Credit Card,62.7,2791.5
5130-IEKQT,No,25,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Month-to-Month,No,Credit Card,105.95,2655.25
3269-ATYWD,No,39,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,95.65,3759.05
0354-WYROK,Yes,31,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,98.9,2911.3
7576-OYWBN,No,3,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,76.05,231.8
5539-TMZLF,No,1,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,69.75,69.75
3336-JORSO,No,33,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,110.45,3655.45
6861-XWTWQ,Yes,7,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.25,665.45
4283-FUTGF,No,19,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,79.85,1471.75
2397-BRLOM,Yes,8,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Credit Card,80.45,583.45
8510-AWCXC,No,13,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,100.8,1308.1
8225-BTJAU,No,10,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,79.25,793.55
1724-BQUHA,No,5,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,89.5,477.7
4826-XTSOH,No,1,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,86.05,86.05
2408-WITXK,No,10,No,No,Yes,DSL,No,No,No,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,34.7,329.8
2634-HCZGT,Yes,53,Yes,Yes,Yes,Cable,Yes,No,No,Yes,No,No,No,One Year,Yes,Bank Withdrawal,60.05,3229.65
7503-QQRVF,Yes,16,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Credit Card,74.3,1178.25
0709-TVGUR,No,9,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,74.55,622.9
3001-CBHLQ,Yes,32,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,104.9,3351.55
4102-OQUPX,Yes,1,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,74.4,74.4
